task_id,implementation_id,task_success,quality_score,tool_accuracy,latency_ms,cost,safety_violations,failure_type,usage,metadata
combined-divide,ukkhnn:upstage:solar-pro4:handoff,False,0.0,0.0,9769.434000000001,0.00048119999999999993,[],tool_mismatch,"{""requests"": 2, ""input_tokens"": 892, ""output_tokens"": 178, ""total_tokens"": 1070, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""combined"", ""repetition_number"": 1, ""agent"": ""Combined Specialist"", ""tools"": [], ""handoffs"": [""Combined Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 0.0, ""label"": ""False"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 0.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""7b65952ae6907879efd479fb088b86b8""}"
combined-power,ukkhnn:upstage:solar-pro4:handoff,True,1.0,1.0,7576.417,0.0006774,[],,"{""requests"": 4, ""input_tokens"": 1870, ""output_tokens"": 97, ""total_tokens"": 1967, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""combined"", ""repetition_number"": 1, ""agent"": ""Combined Specialist"", ""tools"": [""calculator"", ""lookup_project_status"", ""calculator""], ""handoffs"": [""Combined Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""e782ad4ddc75d82df4a081f4fab6e8d2""}"
combined-large-add,ukkhnn:upstage:solar-pro4:handoff,True,1.0,1.0,2546.394,0.0005208,[],,"{""requests"": 3, ""input_tokens"": 1344, ""output_tokens"": 98, ""total_tokens"": 1442, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""combined"", ""repetition_number"": 1, ""agent"": ""Combined Specialist"", ""tools"": [""calculator"", ""lookup_project_status""], ""handoffs"": [""Combined Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""0b9651d062d73f3a8ddb807c8e5cc6d5""}"
combined-parentheses,ukkhnn:upstage:solar-pro4:handoff,False,0.0,1.0,2385.958,0.0005376000000000001,[],answer_mismatch,"{""requests"": 3, ""input_tokens"": 1356, ""output_tokens"": 109, ""total_tokens"": 1465, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""combined"", ""repetition_number"": 1, ""agent"": ""Combined Specialist"", ""tools"": [""calculator"", ""lookup_project_status""], ""handoffs"": [""Combined Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 0.0, ""label"": ""False"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""fe3c9d1e28324826d9d7ad1780703df9""}"
combined-multiply,ukkhnn:upstage:solar-pro4:handoff,True,1.0,1.0,3773.643,0.0004998,[],,"{""requests"": 3, ""input_tokens"": 1318, ""output_tokens"": 87, ""total_tokens"": 1405, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""combined"", ""repetition_number"": 1, ""agent"": ""Combined Specialist"", ""tools"": [""calculator"", ""lookup_project_status""], ""handoffs"": [""Combined Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""90ad1cac47b6e7bd091863fa39ffc990""}"
project-active-check,ukkhnn:upstage:solar-pro4:handoff,True,1.0,1.0,2560.3379999999997,0.00041789999999999997,[],,"{""requests"": 3, ""input_tokens"": 1137, ""output_tokens"": 64, ""total_tokens"": 1201, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""project"", ""repetition_number"": 1, ""agent"": ""Project Specialist"", ""tools"": [""lookup_project_status""], ""handoffs"": [""Project Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""c5cd6fdc11156c4e36eac01b1067fb4d""}"
project-paraphrase,ukkhnn:upstage:solar-pro4:handoff,True,1.0,1.0,2222.645,0.000414,[],,"{""requests"": 3, ""input_tokens"": 1140, ""output_tokens"": 60, ""total_tokens"": 1200, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""project"", ""repetition_number"": 1, ""agent"": ""Project Specialist"", ""tools"": [""lookup_project_status""], ""handoffs"": [""Project Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""e9c6b10296962945812818f6845047cf""}"
project-purpose,ukkhnn:upstage:solar-pro4:handoff,True,1.0,1.0,2051.692,0.00044879999999999996,[],,"{""requests"": 3, ""input_tokens"": 1128, ""output_tokens"": 92, ""total_tokens"": 1220, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""project"", ""repetition_number"": 1, ""agent"": ""Project Specialist"", ""tools"": [""lookup_project_status""], ""handoffs"": [""Project Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""4f0afc4092fde4d4694b04c9ef824a2a""}"
project-full,ukkhnn:upstage:solar-pro4:handoff,True,1.0,1.0,3677.67,0.00040679999999999997,[],,"{""requests"": 3, ""input_tokens"": 1128, ""output_tokens"": 57, ""total_tokens"": 1185, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""project"", ""repetition_number"": 1, ""agent"": ""Project Specialist"", ""tools"": [""lookup_project_status""], ""handoffs"": [""Project Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""4b223bc9b49997f53c6196538f6fd527""}"
project-status,ukkhnn:upstage:solar-pro4:handoff,True,1.0,1.0,2479.882,0.00041279999999999995,[],,"{""requests"": 3, ""input_tokens"": 1128, ""output_tokens"": 62, ""total_tokens"": 1190, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""project"", ""repetition_number"": 1, ""agent"": ""Project Specialist"", ""tools"": [""lookup_project_status""], ""handoffs"": [""Project Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""f7796fab47aaed960a7842413acd179b""}"
