task_id,implementation_id,task_success,quality_score,tool_accuracy,latency_ms,cost,safety_violations,failure_type,usage,metadata
combined-large-add,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,2284.732,0.0003669,[],,"{""requests"": 2, ""input_tokens"": 883, ""output_tokens"": 85, ""total_tokens"": 968, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""combined"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""calculator"", ""lookup_project_status""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""b121b844d6eab706bcb16203501c164b""}"
combined-divide,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,2027.8170000000002,0.0003498,[],,"{""requests"": 2, ""input_tokens"": 870, ""output_tokens"": 74, ""total_tokens"": 944, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""combined"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""calculator"", ""lookup_project_status""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""250749261dc4da0f15d211e9789df792""}"
combined-parentheses,ukkhnn:upstage:solar-pro4:single,False,0.0,1.0,1493.1490000000001,0.00035789999999999997,[],answer_mismatch,"{""requests"": 2, ""input_tokens"": 873, ""output_tokens"": 80, ""total_tokens"": 953, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""combined"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""calculator"", ""lookup_project_status""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 0.0, ""label"": ""False"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""c11b92e871c9b2209074d8aae77fb5fc""}"
combined-multiply,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,4250.224,0.00035759999999999996,[],,"{""requests"": 2, ""input_tokens"": 864, ""output_tokens"": 82, ""total_tokens"": 946, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""combined"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""calculator"", ""lookup_project_status""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""2f04c15dae05d661ae9a4707a1c362b7""}"
combined-power,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,3520.645,0.00037739999999999996,[],,"{""requests"": 2, ""input_tokens"": 882, ""output_tokens"": 94, ""total_tokens"": 976, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""combined"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""calculator"", ""lookup_project_status""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""e20cb644aeb38fd7f566a772f7932666""}"
project-active-check,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,3528.8740000000003,0.00032189999999999996,[],,"{""requests"": 2, ""input_tokens"": 837, ""output_tokens"": 59, ""total_tokens"": 896, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""project"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""lookup_project_status""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""037e267e5dfcc4c349c2f46f5cb580bc""}"
project-paraphrase,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,1932.396,0.0003285,[],,"{""requests"": 2, ""input_tokens"": 839, ""output_tokens"": 64, ""total_tokens"": 903, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""project"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""lookup_project_status""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""4f00ac51e63a9186681a261043822e26""}"
project-purpose,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,2325.947,0.0003417,[],,"{""requests"": 2, ""input_tokens"": 831, ""output_tokens"": 77, ""total_tokens"": 908, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""project"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""lookup_project_status""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""265c465c94bff698300f9414ac9e78e3""}"
project-status,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,1803.006,0.0003141,[],,"{""requests"": 2, ""input_tokens"": 831, ""output_tokens"": 54, ""total_tokens"": 885, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""project"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""lookup_project_status""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""fe306fdef70cb73900b6e01188188ca5""}"
project-full,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,2398.99,0.0003249,[],,"{""requests"": 2, ""input_tokens"": 831, ""output_tokens"": 63, ""total_tokens"": 894, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""project"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""lookup_project_status""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""edd027e85ebdd5593a9eb487544445c9""}"
calc-square,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,2237.083,0.0004335,[],,"{""requests"": 3, ""input_tokens"": 1289, ""output_tokens"": 39, ""total_tokens"": 1328, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""calculator"", ""calculator""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""8468998ffdffb58156f5dd4d52e75b87""}"
calc-large-add,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,1552.929,0.00028979999999999994,[],,"{""requests"": 2, ""input_tokens"": 818, ""output_tokens"": 37, ""total_tokens"": 855, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""calculator""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""5dc4c0a50af0bdd49c133a0a456655f1""}"
calc-parentheses,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,2683.9539999999997,0.0003024,[],,"{""requests"": 2, ""input_tokens"": 820, ""output_tokens"": 47, ""total_tokens"": 867, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""calculator""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""fc5033735cf6478703e98ee698f53479""}"
calc-decimal,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,1783.354,0.0002799,[],,"{""requests"": 2, ""input_tokens"": 813, ""output_tokens"": 30, ""total_tokens"": 843, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""calculator""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""83b246b2513761e747b325307c09837c""}"
calc-power,ukkhnn:upstage:solar-pro4:single,False,0.0,1.0,3179.893,0.00030629999999999996,[],answer_mismatch,"{""requests"": 2, ""input_tokens"": 829, ""output_tokens"": 48, ""total_tokens"": 877, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""calculator""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 0.0, ""label"": ""False"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""6f5ac63d49768741558764a7a06c5cef""}"
calc-precedence,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,1711.592,0.000294,[],,"{""requests"": 2, ""input_tokens"": 816, ""output_tokens"": 41, ""total_tokens"": 857, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""calculator""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""bd6c4f205767fe2d69f0886688dc849d""}"
calc-divide,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,1111.5459999999998,0.00028619999999999996,[],,"{""requests"": 2, ""input_tokens"": 818, ""output_tokens"": 34, ""total_tokens"": 852, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""calculator""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""e86af29bbfd8d428917cdbdbb498f0a2""}"
calc-add,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,1989.6560000000002,0.00028109999999999995,[],,"{""requests"": 2, ""input_tokens"": 809, ""output_tokens"": 32, ""total_tokens"": 841, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""calculator""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""4abf4b466fb7029f2ff878fbccf44007""}"
calc-multiply,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,1852.112,0.00027689999999999995,[],,"{""requests"": 2, ""input_tokens"": 807, ""output_tokens"": 29, ""total_tokens"": 836, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""calculator""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""f46bae736c7ab33443352c4f182e62f5""}"
calc-subtract,ukkhnn:upstage:solar-pro4:single,True,1.0,1.0,1824.241,0.000285,[],,"{""requests"": 2, ""input_tokens"": 814, ""output_tokens"": 34, ""total_tokens"": 848, ""cached_input_tokens"": 0}","{""architecture"": ""single"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Hands-on Evaluation Agent"", ""tools"": [""calculator""], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""492781477d3ab9b0f9470e0391aec97f""}"
