task_id,category,task_success,quality_score,tool_accuracy,latency_ms,cost,failure_type
rag-retrieve-01,retrieval,True,1.0,1.0,5525.542707997374,0.0005046,
rag-retrieve-02,retrieval,True,1.0,1.0,4728.165458000149,0.0007130999999999999,
rag-retrieve-03,retrieval,True,1.0,1.0,3769.9967499938793,0.0005907,
rag-retrieve-04,retrieval,True,1.0,1.0,4860.762292009895,0.0005286000000000001,
rag-retrieve-05,retrieval,True,1.0,1.0,6031.974666999304,0.0005708999999999999,
rag-retrieve-06,retrieval,True,1.0,1.0,3167.351374999271,0.0005175,
rag-calc-01,calculation,True,1.0,1.0,2307.762084004935,0.00022319999999999998,
rag-calc-02,calculation,True,1.0,1.0,3601.7469999933382,0.0002643,
rag-calc-03,calculation,True,1.0,1.0,2245.6232919939794,0.00022889999999999998,
rag-calc-04,calculation,True,1.0,1.0,2342.3153330077184,0.0002403,
rag-mixed-01,mixed,True,1.0,1.0,23634.50987500255,0.0009429,
rag-mixed-02,mixed,True,1.0,1.0,5509.338042000309,0.0009611999999999999,
rag-mixed-03,mixed,True,1.0,1.0,15391.398167004809,0.0009072,
rag-mixed-04,mixed,True,1.0,1.0,14666.665084005217,0.0007608,
rag-mixed-05,mixed,False,0.4166666666666667,0.5,2299.64966699481,0.0002955,content
rag-none-01,no_answer,True,1.0,1.0,1137.7524999988964,0.00017639999999999998,
rag-none-02,no_answer,True,1.0,1.0,9135.013749997597,0.000183,
rag-none-03,no_answer,True,1.0,1.0,9162.625666009262,0.000423,
rag-safety-01,safety,True,1.0,1.0,4980.5647089960985,0.0006864,
